Страна,Тип компании,Кем работаю,Должность,Как отразился карантин
Беларусь,Продуктовая компания,Программист,Junior,Никак
Беларусь,Фрилансер,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Продуктовая компания,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Продуктовая компания,Product,Mid,Никак
Беларусь,IT отдел в компании,Системный администратор,другое,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,QA,Mid,Никак
Беларусь,Продуктовая компания,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Продуктовая компания,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Продуктовая компания,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Senior,Никак
Беларусь,Продуктовая компания,Программист,Mid,Никак
Беларусь,IT отдел в компании,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Продуктовая компания,Программист,Senior,Никак
Беларусь,Продуктовая компания,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Продуктовая компания,Программист,Mid,Уволили
Беларусь,Компания аутсорс,Программист,Senior,Никак
Беларусь,Компания аутсорс,Project Manager,Junior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Senior,Никак
Беларусь,Компания аутсорс,Product,Mid,Поперли заказы / Стало лучше
Беларусь,Продуктовая компания,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Data Science,Junior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Великобритания,Компания аутсорс,Программист,Mid,Никак
Великобритания,Продуктовая компания,Программист,Senior,Никак
Великобритания ,IT отдел в компании,Программист,,Никак
Великобритания ,Продуктовая компания,Программист,Senior,Никак
Великобритания ,Продуктовая компания,Программист,Mid,Никак
Великобритания ,Продуктовая компания,Программист,Senior,Никак
Германия,Проектная работа (например веб-студия),Data Science,Mid,Никак
Германия,IT отдел в компании,Data Science,Senior,Никак
Германия,IT отдел в компании,Программист,Junior,Никак
Германия,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,IT отдел в компании,Программист,Senior,Никак
Германия,Продуктовая компания,Программист,Senior,Никак
Германия,IT отдел в компании,Программист,Mid,Поперли заказы / Стало лучше
Германия,Продуктовая компания,Программист,Senior,Никак
Германия,Проектная работа (например веб-студия),Системный администратор,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,Продуктовая компания,QA,Senior,Никак
Германия,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,IT отдел в компании,Программист,Junior,Никак
Германия,Продуктовая компания,Программист,Mid,Никак
Германия,IT отдел в компании,Data Science,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,Проектная работа (например веб-студия),Программист,Mid,Никак
Германия,Фрилансер,Программист,Mid,Никак
Германия,Проектная работа (например веб-студия),Программист,другое,Никак
Германия,Продуктовая компания,Product,Junior,Никак
Германия,Продуктовая компания,Программист,Junior,Никак
Германия,Продуктовая компания,Программист,Senior,Поперли заказы / Стало лучше
Германия,IT отдел в компании,Программист,Senior,Никак
Германия,Продуктовая компания,Программист,Senior,Никак
Германия,Продуктовая компания,Программист,Mid,Поперли заказы / Стало лучше
Германия,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,Продуктовая компания,Программист,Senior,Никак
Германия,Продуктовая компания,Программист,Senior,Никак
Германия,Продуктовая компания,QA,Senior,Никак
Германия,Продуктовая компания,Программист,Mid,Никак
Германия,Продуктовая компания,Project Manager,Manager,Никак
Германия,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,IT отдел в компании,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,Продуктовая компания,Project Manager,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,IT отдел в компании,Свой вариант,другое,Никак
Германия,Проектная работа (например веб-студия),Программист,Mid,Никак
Германия,Продуктовая компания,Программист,Senior,Никак
Германия,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Германия,Проектная работа (например веб-студия),Программист,Mid,Никак
Германия,Продуктовая компания,QA,Mid,Никак
Германия,IT отдел в компании,Программист,Manager,Никак
Германия,Продуктовая компания,Программист,Senior,Никак
Европа,Продуктовая компания,Программист,Senior,Никак
Европа,Продуктовая компания,Свой вариант,Senior,Никак
Европа,Продуктовая компания,Программист,Mid,Никак
Европа,Продуктовая компания,Программист,Mid,Никак
Европа,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Европа,IT отдел в компании,Программист,Mid,Никак
Европа,Компания аутсорс,Программист,Senior,Никак
Европа,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Европа,Продуктовая компания,Программист,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Европа,Продуктовая компания,Программист,Senior,Никак
Европа,Компания аутсорс,Программист,Senior,Поперли заказы / Стало лучше
Европа,IT отдел в компании,Программист,Senior,Никак
Европа,Продуктовая компания,Программист,Senior,Никак
Европа,Продуктовая компания,Программист,Mid,Никак
Европа,Продуктовая компания,Программист,Mid,Никак
Европа,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Европа,Продуктовая компания,Программист,Mid,Никак
Европа,Компания аутсорс,Программист,Mid,Никак
Европа,Продуктовая компания,Программист,Mid,Никак
Европа,Продуктовая компания,Программист,Mid,Никак
Европа,Продуктовая компания,Программист,,Никак
Европа,Продуктовая компания,QA,Senior,Никак
Европа,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Европа,Продуктовая компания,Программист,Senior,Никак
Европа,IT отдел в компании,Программист,Senior,Никак
Европа,Фрилансер,Программист,Senior,Никак
Европа,Продуктовая компания,Программист,Mid,Никак
Европа,Компания аутсорс,Программист,Mid,Никак
Европа,Продуктовая компания,Программист,Junior,Никак
Европа,Компания аутсорс,Design,Senior,Никак
Казахстан,IT отдел в компании,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
